"geneID","PS","PR","Tsil","Trepl","FS","FR","nout","npop","BSnIPRE.class","BSnIPRE.est","BSnIPRE.lbound","BSnIPRE.ubound","BSnIPRE.pneg","BSnIPRE.Rest","BSnIPRE.Rlbound","BSnIPRE.Rubound","BSnIPRE.Rclass","BSnIPRE.tau","BSnIPRE.theta","BSnIPRE.gamma","BSnIPRE.f","BSnIPRE.f.lb","BSnIPRE.f.ub","BSnIPRE.f.class"
"PF3D7_0100700",0,6,35,165,11,4,1,100,"neg",-2.5809082518811,-4.13235159257632,-1.1756036009652,1,-0.0198495181030231,-0.860653972934924,0.855474431496968,"neut",72.911446216269,0.00402651371250371,-2.30741982422844,1.50368150228703,0.648630857878855,3.60828943080983,"neut"
"PF3D7_0100900",60,157,188,765,208,102,1,100,"neg",-1.78599187417117,-2.16872084756876,-1.42362383723459,1,-0.368108861288444,-0.636587300924598,-0.0539120451227325,"neg",18.9150762835357,0.0562301371199997,-1.76976516111628,0.97318777706528,0.744056578864633,1.33246399802142,"neut"
"PF3D7_0102200",5,14,270,1256,203,61,1,100,"neg",-2.30026440697577,-2.99473833413731,-1.56693666325224,1,-0.430423521155425,-1.03267884297987,0.173452196186976,"neut",234.756876921587,0.00313849865308611,-2.07265967328715,0.961610425012481,0.526547094568249,1.758986619303,"neut"
"PF3D7_0102300",0,1,64,286,6,8,1,100,"neut",-0.2854425439206,-1.67358515340278,1.23479360898923,0.659733333333333,-1.17221665584158,-2.12329504281815,-0.285958822960859,"neg",58.0510201998914,0.00164317350435602,-0.335262147492517,0.309679356841687,0.119635653411881,0.751296050767275,"neg"
"PF3D7_0102500",5,28,797,3651,468,123,1,100,"neg",-2.70672794975298,-3.3565390901347,-2.05243519790506,1,-0.151949543005061,-0.723001794705063,0.475297571179508,"neut",359.525277563755,0.00162875789457698,-2.35873964269629,1.32776221363574,0.750096650976706,2.48616476824986,"neut"
"PF3D7_0102600",1,9,315,1571,43,28,1,100,"neg",-1.48860784542673,-2.42048664643779,-0.525013296565495,0.998933333333333,-0.55366972258116,-1.26417548228971,0.146529959821296,"neut",83.6453334293964,0.00160163815011749,-1.46060912793737,0.765039044267912,0.375937878428131,1.54090655705998,"neut"
"PF3D7_0102700",1,6,119,708,18,6,1,100,"neg",-2.23797418051548,-3.46154242281254,-0.964786322379818,1,-0.33827914711813,-1.15050586349938,0.440519983967671,"neut",65.6437140930897,0.00198121874721636,-2.05500066472189,1.05143095038612,0.46670490097159,2.29094133824827,"neut"
"PF3D7_0102800",3,2,249,1550,16,10,1,100,"neut",-0.858838895392156,-2.02418562670086,0.362797807717717,0.9208,-1.12486095201344,-1.92023277137699,-0.333910299364448,"neg",39.1808674476259,0.00135336420466079,-0.921686482259982,0.324697496150861,0.146571972104275,0.716091414613337,"neg"
"PF3D7_0102900",2,2,320,1557,10,23,1,100,"neut",0.605923180959514,-0.557212064678608,1.80144042719248,0.152266666666667,-1.51752970343169,-2.36183941105695,-0.731447714372897,"neg",25.3880153353469,0.00129178102149079,0.901150967921338,0.219252447566356,0.0942754916754441,0.481206997821859,"neg"
"PF3D7_0103000",0,3,137,639,8,8,1,100,"neut",-0.790031144919221,-2.20705808859824,0.632149276341401,0.858666666666667,-0.844641775023137,-1.72664429005811,0.0249077023552505,"neut",36.7153075140591,0.00151947066080433,-0.857402979496213,0.429710829129131,0.177891239514187,1.02520082974037,"neut"
